rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
457,https://doi.org/10.18653/v1/2025.acl-long.757,MasRouter: Learning to Route LLMs for Multi-Agent Systems,keep,7,4,"ACL long paper directly about routing LLMs in multi-agent systems; venue and topic are strong enough to keep for full review despite low early citations."
458,https://doi.org/10.18653/v1/2025.naacl-long.476,MASTER: A Multi-Agent System with LLM Specialized MCTS,keep,7,4,"NAACL long paper with explicit multi-agent architecture and search/planning mechanism; plausible core contribution needing deeper review."
459,https://doi.org/10.5281/zenodo.19329992,Integrity Beyond the Trust Boundary — External Differential Monitoring in LLM Multi-Agent Systems,remove,2,3,"Zenodo-only record with no discoverable venue trail or reliable metadata from quick lookup; security framing is relevant but artifact signal is too weak for this corpus pass."
460,https://doi.org/10.1016/j.autcon.2025.106563,AI BIM coordinator for non-expert interaction in building design using LLM-driven multi-agent systems,keep,5,3,"Peer-reviewed Automation in Construction application paper; likely domain-specific but LLM-driven multi-agent coordination is central enough to keep."
461,2025.00039,Assessing and Enhancing the Robustness of LLM-Based Multi-Agent Systems Through Chaos Engineering,keep,6,3,"Conference DOI and topic are directly about robustness testing for LLM multi-agent systems; low citations are expected for a 2025 paper."
462,https://doi.org/10.1145/3701716.3715225,Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis,keep,6,3,"ACM paper on SOP-guided LLM multi-agent root cause analysis; applied but relevant to coordination and operational workflows."
463,https://doi.org/10.1007/978-3-032-04200-2_12,A Multi-agent LLM System for Automated Requirements Analysis: A Study on User Story Generation and Prioritization,keep,5,3,"Springer chapter on a concrete software-engineering multi-agent LLM workflow; likely narrow but not obvious noise."
464,https://doi.org/10.24425/ijet.2025.153538,LLM-Based multi-agent system for individual investment in energy and natural resources,remove,3,3,"Short narrow investment-advisory platform paper with weak evidence of generalizable multi-agent research contribution; likely demo-level application noise."
465,https://doi.org/10.13088/jiis.2025.31.10.141,A Practical MCP×A2A Integration Framework for Interoperability in LLM-Based Autonomous Multi-Agent Systems,keep,5,3,"Journal article on MCP/A2A interoperability; may be more framework discussion than rigorous evaluation, but directly relevant and should receive deeper review."
466,https://doi.org/10.3389/frai.2025.1431003,Co-Learning: code learning for multi-agent reinforcement collaborative framework with conversational natural language interfaces,keep,5,3,"Frontiers AI paper involving multi-agent collaborative code learning; relevance is plausible though novelty and rigor need inspection."
468,https://doi.org/10.1145/3627673.3679216,Demonstration of a Multi-agent Framework for Text to SQL Applications with Large Language Models,keep,5,3,"ACM demonstration paper; may be less rigorous than a full paper, but Text-to-SQL multi-agent orchestration is relevant enough to retain."
469,https://doi.org/10.1145/3726302.3731950,MAAQR: An LLM-based Multi-Agent Framework for Adaptive Query Rewriting in Alipay Search,keep,6,3,"ACM industry/search application with explicit adaptive multi-agent framework; practical deployment signal warrants keeping."
470,https://doi.org/10.1007/s10639-025-13633-2,Analyzing the teaching and learning environments through student feedback at scale: a multi-agent LLMs framework,keep,5,3,"Education analytics application with LLM multi-agent framework; narrow, but peer-reviewed and plausibly useful for application mapping."
471,https://doi.org/10.1016/j.infsof.2025.107955,UCD-LLM: A use case diagram requirement modeling multi-agent framework with large language model,keep,6,3,"Information and Software Technology paper on requirements modeling with a multi-agent LLM framework; relevant software-engineering application."
472,https://doi.org/10.1109/dac63849.2025.11133316,Enhancing LLM-based Quantum Code Generation with Multi-Agent Optimization and Quantum Error Correction,keep,6,3,"DAC paper on code-generation agents for quantum code; specialized but credible venue and explicit multi-agent optimization."
473,https://doi.org/10.1016/j.ipm.2025.104466,Explainable zero-shot trading using multi-agent LLM architecture: A backtested approach for Bitcoin price,keep,6,3,"Elsevier IPM paper with backtesting, ablations, and role-specific agents from quick inspection; domain-specific but not obvious low quality."
474,https://doi.org/10.1145/3703412.3703439,Methodology for Quality Assurance Testing of LLM-based Multi-Agent Systems,keep,5,3,"Short ACM AIMLSystems paper on QA methodology for LLM multi-agent systems; limited length but directly aligned with evaluation and robustness."
475,https://doi.org/10.1109/telfor63250.2024.10819096,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,keep,5,3,"IEEE conference paper in coding-agent space; likely applied and incremental, but not obvious corpus noise."
477,https://doi.org/10.36227/techrxiv.172720290.02520081/v1,Exploring Multi-Agent Dynamics for Generative AI and Large Language Models in Mobile Edge Networks,keep,5,3,"TechRxiv row appears to correspond to a later IEEE Wireless Communications article; keep despite preprint DOI because the topic is relevant and published version exists."
478,https://doi.org/10.2139/ssrn.5193679,A Multi-Agent Large Language Model (Llm) Framework for Code-Complying Design Automation of Concrete Structures,keep,5,3,"SSRN preprint but quick inspection shows a substantial 44-page applied framework with coordinated agents and case studies; keep for deeper review."
