rank,id,title,authors,year,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status,review_batch,decision,note
19,OpenReview:LkzuPorQ5L,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,Zhang et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:llm-mas;openalex:topology,2,1.0,http://arxiv.org/abs/2410.02506,2410.02506,papers_extra/multi-agent-triaged/0019_2410.02506,papers_extra/multi-agent-triaged/0019_2410.02506/paper.pdf,papers_extra/multi-agent-triaged/0019_2410.02506/source,present,present,batch-01,keep,Retained after batch review.
20,2310.10701,Theory of Mind for Multi-Agent Collaboration via Large Language Models,Li et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;local-bib;openalex:collaboration;openalex:minecraft-agents;openalex:planning;openalex:reasoning,55,1.0,https://doi.org/10.18653/v1/2023.emnlp-main.13,2310.10701,papers_extra/multi-agent-triaged/0020_2310.10701,papers_extra/multi-agent-triaged/0020_2310.10701/paper.pdf,papers_extra/multi-agent-triaged/0020_2310.10701/source,present,present,batch-01,keep,Retained after batch review.
22,2510.05174,Emergent Coordination in Multi-Agent Language Models,Riedl,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2510.05174,papers_extra/multi-agent-triaged/0022_2510.05174,papers_extra/multi-agent-triaged/0022_2510.05174/paper.pdf,papers_extra/multi-agent-triaged/0022_2510.05174/source,present,present,batch-01,keep,Retained after batch review.
23,2306.16092,ChatLaw: A Multi-Agent Collaborative Legal Assistant with Knowledge Graph Enhanced Mixture-of-Experts Large Language Model,Cui et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2306.16092,papers_extra/multi-agent-triaged/0023_2306.16092,papers_extra/multi-agent-triaged/0023_2306.16092/paper.pdf,papers_extra/multi-agent-triaged/0023_2306.16092/source,present,present,batch-01,keep,Retained after batch review.
24,2310.20151,Multi-Agent Consensus Seeking via Large Language Models,Chen et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration;openalex:planning;openalex:robot-collaboration;openalex:topology,12,1.0,http://arxiv.org/abs/2310.20151,2310.20151,papers_extra/multi-agent-triaged/0024_2310.20151,papers_extra/multi-agent-triaged/0024_2310.20151/paper.pdf,papers_extra/multi-agent-triaged/0024_2310.20151/source,present,present,batch-01,keep,Retained after batch review.
25,ACSOS-C 2023,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,Nascimento et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"IEEE/ACSOS companion and arXiv-resolvable early LLM-MAS self-adaptation work; likely limited rigor and evidence, but relevant enough for deeper corpus review."
26,2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,Zhang et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:topology,1,1.0,http://arxiv.org/abs/2410.11782,2410.11782,papers_extra/multi-agent-triaged/0026_2410.11782,papers_extra/multi-agent-triaged/0026_2410.11782/paper.pdf,papers_extra/multi-agent-triaged/0026_2410.11782/source,present,present,batch-01,keep,Retained after batch review.
27,OpenReview:H22e93wnMe,Multi-Agent Verification: Scaling Test-Time Compute with Goal Verifiers,Lifshitz et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,papers_extra/multi-agent-triaged/0027_OpenReview_H22e93wnMe,papers_extra/multi-agent-triaged/0027_OpenReview_H22e93wnMe/paper.pdf,,present,unavailable,batch-01,keep,Retained after batch review.
28,ACL 2020,Multi-Agent Communication Meets Natural Language: Synergies Between Functional and Structural Language Learning,Lazaridou et al,2020,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;local-bib,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"Credible ACL foundation/bridge paper on emergent communication and natural language structure; not LLM-agent work, but useful background for multi-agent communication."
30,2403.19267,MineLand: Simulating Large-Scale Multi-Agent Interactions with Limited Multimodal Senses and Physical Needs,Yu et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2403.19267,papers_extra/multi-agent-triaged/0030_2403.19267,papers_extra/multi-agent-triaged/0030_2403.19267/paper.pdf,papers_extra/multi-agent-triaged/0030_2403.19267/source,present,present,batch-01,keep,Retained after batch review.
31,2406.05720,VillagerAgent: A Graph-Based Multi-Agent Framework for Coordinating Complex Task Dependencies in Minecraft,Dong et al,2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2406.05720,papers_extra/multi-agent-triaged/0031_2406.05720,papers_extra/multi-agent-triaged/0031_2406.05720/paper.pdf,papers_extra/multi-agent-triaged/0031_2406.05720/source,present,present,batch-01,keep,Retained after batch review.
32,2310.06500,MetaAgents: Simulating Interactions of Human Behaviors for LLM-based Task-Oriented Coordination via Collaborative Generative Agents,Li et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2310.06500,papers_extra/multi-agent-triaged/0032_2310.06500,papers_extra/multi-agent-triaged/0032_2310.06500/paper.pdf,papers_extra/multi-agent-triaged/0032_2310.06500/source,present,present,batch-01,keep,Retained after batch review.
33,2307.05300,Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration,Wang et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2307.05300,papers_extra/multi-agent-triaged/0033_2307.05300,papers_extra/multi-agent-triaged/0033_2307.05300/paper.pdf,papers_extra/multi-agent-triaged/0033_2307.05300/source,present,present,batch-01,keep,Retained after batch review.
34,2307.04738,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,Mandi et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration;openalex:planning;openalex:reasoning;openalex:robot-collaboration,118,1.0,https://doi.org/10.1109/icra57147.2024.10610855,2307.04738,papers_extra/multi-agent-triaged/0034_2307.04738,papers_extra/multi-agent-triaged/0034_2307.04738/paper.pdf,papers_extra/multi-agent-triaged/0034_2307.04738/source,present,present,batch-01,keep,Retained after batch review.
35,2309.15943,Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,Chen et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:frameworks;openalex:planning;openalex:robot-collaboration,64,1.0,https://doi.org/10.1109/icra57147.2024.10610676,2309.15943,papers_extra/multi-agent-triaged/0035_2309.15943,papers_extra/multi-agent-triaged/0035_2309.15943/paper.pdf,papers_extra/multi-agent-triaged/0035_2309.15943/source,present,present,batch-01,keep,Retained after batch review.
36,1812.09755,Learning when to Communicate at Scale in Multiagent Cooperative and Competitive Tasks,Singh et al,2019,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,1812.09755,papers_extra/multi-agent-triaged/0036_1812.09755,papers_extra/multi-agent-triaged/0036_1812.09755/paper.pdf,papers_extra/multi-agent-triaged/0036_1812.09755/source,present,present,batch-01,keep,Retained after batch review.
37,2310.07937,Co-NavGPT: Multi-Robot Cooperative Visual Semantic Navigation using Large Language Models,Yu et al,2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2310.07937,papers_extra/multi-agent-triaged/0037_2310.07937,papers_extra/multi-agent-triaged/0037_2310.07937/paper.pdf,papers_extra/multi-agent-triaged/0037_2310.07937/source,present,present,batch-01,keep,Retained after batch review.
38,1910.07483,MAVEN: Multi-Agent Variational Exploration,Mahajan et al,2019,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,1910.07483,papers_extra/multi-agent-triaged/0038_1910.07483,papers_extra/multi-agent-triaged/0038_1910.07483/paper.pdf,papers_extra/multi-agent-triaged/0038_1910.07483/source,present,present,batch-01,keep,Retained after batch review.
39,2008.01062,QPLEX: Duplex Dueling Multi-Agent Q-Learning,Wang et al,2021,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2008.01062,papers_extra/multi-agent-triaged/0039_2008.01062,papers_extra/multi-agent-triaged/0039_2008.01062/paper.pdf,papers_extra/multi-agent-triaged/0039_2008.01062/source,present,present,batch-01,keep,Retained after batch review.
40,2010.01523,RODE: Learning Roles to Decompose Multi-Agent Tasks,Wang et al,2021,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2010.01523,papers_extra/multi-agent-triaged/0040_2010.01523,papers_extra/multi-agent-triaged/0040_2010.01523/paper.pdf,papers_extra/multi-agent-triaged/0040_2010.01523/source,present,present,batch-01,keep,Retained after batch review.
41,DOI:10.1017/S0269888900000205,Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems,Jennings,1993,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-07,keep,"Classic coordination-foundations paper with clear relevance to commitments, conventions, and MAS theory; keep as foundational context despite age."
42,2508.08997,Intrinsic Memory Agents: Heterogeneous Multi-Agent LLM Systems through Structured Contextual Memory,Yuen et al,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2508.08997,papers_extra/multi-agent-triaged/0042_2508.08997,papers_extra/multi-agent-triaged/0042_2508.08997/paper.pdf,papers_extra/multi-agent-triaged/0042_2508.08997/source,present,present,batch-01,keep,Retained after batch review.
