rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
847,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,Zi Liang et al,2026,2604.06633,candidate,trend,"Safety, Security, and Reliability",arxiv:workflow,0,0.92,https://arxiv.org/abs/2604.06633,2604.06633,papers_extra/multi-agent-triaged/0847_2604.06633,papers_extra/multi-agent-triaged/0847_2604.06633/paper.pdf,papers_extra/multi-agent-triaged/0847_2604.06633/source,present,present
848,Your Agent is More Brittle Than You Think: Uncovering Indirect Injection Vulnerabilities in Agentic LLMs,Wenhui Zhu et al,2026,2604.03870,candidate,trend,"Safety, Security, and Reliability",arxiv:prompt-injection,0,0.92,https://arxiv.org/abs/2604.03870,2604.03870,papers_extra/multi-agent-triaged/0848_2604.03870,papers_extra/multi-agent-triaged/0848_2604.03870/paper.pdf,papers_extra/multi-agent-triaged/0848_2604.03870/source,present,present
849,SafeEvalAgent: Toward Agentic and Self-Evolving Safety Evaluation of LLMs,Yixu Wang et al,2025,2509.26100,candidate,trend,"Safety, Security, and Reliability",arxiv:agent-safety,0,0.92,https://arxiv.org/abs/2509.26100,2509.26100,papers_extra/multi-agent-triaged/0849_2509.26100,papers_extra/multi-agent-triaged/0849_2509.26100/paper.pdf,papers_extra/multi-agent-triaged/0849_2509.26100/source,present,present
853,Beyond Static Responses: Multi-Agent LLM Systems as a New Paradigm for Social Science Research,"Haase, Jennifer, Pokutta, Sebastian",2025,2506.01839,candidate,trend,"Safety, Security, and Reliability",openalex:llm-mas,2,0.92,http://arxiv.org/abs/2506.01839,2506.01839,papers_extra/multi-agent-triaged/0853_2506.01839,papers_extra/multi-agent-triaged/0853_2506.01839/paper.pdf,papers_extra/multi-agent-triaged/0853_2506.01839/source,present,present
855,NeuroClaw Technical Report,Cheng Wang et al,2026,2604.24696,candidate,trend,"Safety, Security, and Reliability",arxiv:llm-multi-agent,0,0.92,https://arxiv.org/abs/2604.24696,2604.24696,papers_extra/multi-agent-triaged/0855_2604.24696,papers_extra/multi-agent-triaged/0855_2604.24696/paper.pdf,papers_extra/multi-agent-triaged/0855_2604.24696/source,present,present
856,The Consensus Trap: Rescuing Multi-Agent LLMs from Adversarial Majorities via Token-Level Collaboration,Jiayuan Liu et al,2026,2604.17139,candidate,trend,"Safety, Security, and Reliability",arxiv:llm-multi-agent;arxiv:prompt-injection,0,0.92,https://arxiv.org/abs/2604.17139,2604.17139,papers_extra/multi-agent-triaged/0856_2604.17139,papers_extra/multi-agent-triaged/0856_2604.17139/paper.pdf,papers_extra/multi-agent-triaged/0856_2604.17139/source,present,present
858,MICA: Multi-Agent Industrial Coordination Assistant,Di Wen et al,2025,2509.15237,candidate,bridge,"Safety, Security, and Reliability",arxiv:language-agents,0,0.92,https://arxiv.org/abs/2509.15237,2509.15237,papers_extra/multi-agent-triaged/0858_2509.15237,papers_extra/multi-agent-triaged/0858_2509.15237/paper.pdf,papers_extra/multi-agent-triaged/0858_2509.15237/source,present,present
861,Don't Trust Stubborn Neighbors: A Security Framework for Agentic Networks,Samira Abedini et al,2026,2603.15809,candidate,trend,"Safety, Security, and Reliability",arxiv:llm-mas,0,0.92,https://arxiv.org/abs/2603.15809,2603.15809,papers_extra/multi-agent-triaged/0861_2603.15809,papers_extra/multi-agent-triaged/0861_2603.15809/paper.pdf,papers_extra/multi-agent-triaged/0861_2603.15809/source,present,present
867,Self-Adaptive Multi-Agent LLM-Based Security Pattern Selection for IoT Systems,Saeid Jamshidi et al,2026,2605.00741,candidate,trend,"Safety, Security, and Reliability",arxiv:agent-security;arxiv:llm-multi-agent,0,0.92,https://arxiv.org/abs/2605.00741,2605.00741,papers_extra/multi-agent-triaged/0867_2605.00741,papers_extra/multi-agent-triaged/0867_2605.00741/paper.pdf,papers_extra/multi-agent-triaged/0867_2605.00741/source,present,present
868,Constraint-Guided Multi-Agent Decompilation for Executable Binary Recovery,Yifan Zhang et al,2026,2604.23940,candidate,trend,"Safety, Security, and Reliability",arxiv:agent-security;arxiv:llm-multi-agent,0,0.92,https://arxiv.org/abs/2604.23940,2604.23940,papers_extra/multi-agent-triaged/0868_2604.23940,papers_extra/multi-agent-triaged/0868_2604.23940/paper.pdf,papers_extra/multi-agent-triaged/0868_2604.23940/source,present,present
869,The Blind Spot of Agent Safety: How Benign User Instructions Expose Critical Vulnerabilities in Computer-Use Agents,Xuwei Ding et al,2026,2604.10577,candidate,bridge,"Safety, Security, and Reliability",arxiv:computer-use;arxiv:prompt-injection,0,0.92,https://arxiv.org/abs/2604.10577,2604.10577,papers_extra/multi-agent-triaged/0869_2604.10577,papers_extra/multi-agent-triaged/0869_2604.10577/paper.pdf,papers_extra/multi-agent-triaged/0869_2604.10577/source,present,present
