rank,id,title,batch,overall_score_1_10,review_confidence_1_5,reason
278,DOI:10.1038/s44387-026-00111-4,"Verification-first Autonomous Catalysis: Large Language Models as Infrastructure for Mechanism, Computation, and Experiment",batch-08,5,2,Very recent autonomous-catalysis perspective with only sparse metadata available locally; plausibly relevant to scientific agent infrastructure but multi-agent specificity cannot be judged fairly from the artifact.
440,https://doi.org/10.2139/ssrn.6235282,RepoAI: Automated Code Refactoring through Multi-Agent LLM Orchestration and Retrieval-Augmented Generation,batch-10,4,2,Recent SSRN preprint with no accessible local artifact and no citation signal yet; title is plausibly relevant to coding agents so it should not be removed without deeper inspection.
441,https://doi.org/10.5281/zenodo.18707310,Manifold: Eliminating False Positives in Multi-Agent LLM Systems Through Specification-Driven Orchestration,batch-10,5,2,Zenodo-only record is unreviewed but the metadata claims controlled trials and a specification-driven orchestration contribution; plausible enough to require follow-up.
445,https://doi.org/10.2139/ssrn.5818317,AutoTestX: Dependable Test Generation with Open-Source LLMs via Multi-Agent Orchestration,batch-10,4,2,SSRN preprint and artifact is unavailable in the batch; title is plausibly relevant to multi-agent test generation but needs paper-level verification.
479,https://doi.org/10.2139/ssrn.6339960,AutoPatch: Multi-Agent Framework for Patching Real-World CVEs Generated by Outdated LLMs,batch-12,4,2,Recent SSRN preprint with no local artifact; the CVE patching and multi-agent LLM framing is plausibly relevant but needs paper-level verification before pruning or accepting.
480,https://doi.org/10.2139/ssrn.5746063,DrugAgent: A Theory-Driven LLM Multi-Agent System for Automating Machine Learning Programming in Drug Discovery,batch-12,4,2,"SSRN-only unresolved artifact, but the title describes a concrete LLM multi-agent system for automated ML programming in drug discovery; plausible applied relevance warrants follow-up."
481,https://doi.org/10.2139/ssrn.5276004,"Why Should Next-Gen LLM Multi-Agent Systems Move Beyond Fixed Architectures to Dynamic, Input-Driven Graphs?",batch-12,4,2,"Likely conceptual SSRN preprint with low citation signal and no artifact, but dynamic input-driven multi-agent graph structure is directly relevant enough to avoid obvious pruning."
493,https://doi.org/10.4018/979-8-3373-2008-3.ch001,Orchestrating Multi-Agent Applications With Langflow and Large Language Models (LLMs),batch-12,3,2,IGI book chapter with generic Langflow/orchestration framing and no citations; plausible educational framework relevance but insufficient metadata to judge rigor.
626,https://doi.org/10.48448/ed35-tw18,OSC: Cognitive Orchestration through Dynamic Knowledge Alignment in Multi-Agent LLM Collaboration,batch-14,5,2,"OpenAlex resolves this as repository-hosted Open MIND content rather than a standard venue record, but the abstract is directly about knowledge-aware multi-agent LLM collaboration, so artifact-level follow-up is warranted."
628,https://doi.org/10.20944/preprints202507.1294.v1,Beyond Prompt Chaining: The TB-CSPN Architecture for Agentic AI,batch-14,4,2,"Preprints.org architecture paper with no citation/venue signal yet; abstract claims formal coordination and efficiency gains over LangGraph-style orchestration, making it plausible but in need of PDF-level verification."
640,https://doi.org/10.12732/ijam.v38i12s.1392,CLOUD-NATIVE ORCHESTRATION PATTERNS FOR MULTI-AGENT HEALTHCARE LLMS,batch-14,3,2,"Weak venue/provenance signals and all-caps title raise quality concerns, but the DOI page exposes a concrete abstract on healthcare LLM orchestration with experiments, so this should be checked before removal."
653,https://doi.org/10.32388/3y8v71,Diversity of Thought Elicits Stronger Reasoning Capabilities in Multi-Agent Debate Frameworks,batch-14,4,2,"Qeios posted-content record and strong performance claims need verification, but the abstract directly concerns heterogeneous LLM debate and cites relevant debate work."
694,https://doi.org/10.20944/preprints202603.0129.v1,A Self-Reflective Multi-Agent Collaboration Framework for Dynamic Software Engineering Tasks,batch-14,4,2,Recent Preprints.org software-engineering MAS paper with strong SWE-bench claims and no local artifact; direct relevance but quality and reproducibility need follow-up.
792,https://doi.org/10.18653/v1/2025.emnlp-main.22,DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,batch-16,5,2,Credible EMNLP web-agent paper and plausibly relevant to research agents but metadata does not establish multi-agent specificity; artifact review needed before pruning or keeping.
807,https://doi.org/10.26240/heal.ntua.31912,Adaptive Multi-Agent LLM Systems for Financial Trading: A Framework for Realistic Simulation and Dynamic Prompt Optimization,batch-17,4,2,"Unresolved institutional DOI/thesis-like item; title is plausibly about LLM multi-agent financial trading, but there is no artifact, venue signal, or citation signal to support a fair keep/remove call."
837,https://doi.org/10.1016/j.csbj.2025.07.012,Leveraging MDS2 and SBOM data for LLM-assisted vulnerability analysis of medical devices,batch-17,4,2,"Credible LLM-assisted cybersecurity/medical-device paper, but metadata does not show an agent or multi-agent mechanism; missing artifact prevents a fair relevance decision."
866,https://doi.org/10.35490/ec3.2025.218,A Conceptual Framework for LLM-based Multi-agent System in Construction Management,batch-18,4,2,Conceptual domain framework from EC3 2025 is plausibly relevant but artifact absence prevents judging whether it is substantive or just a high-level position paper.
926,https://doi.org/10.5281/zenodo.18732505,Beyond Homo Economicus: Computational Verification of Amartya Sen's Meta-Ranking Theory in Multi-Agent Social Dilemmas,batch-18,3,2,"Zenodo/OpenAlex metadata and zero citations are weak, but the social-dilemma framing is plausibly relevant; artifact absence prevents a fair obvious-removal decision."
