rank,title,authors,year,id,status,role,sub_area,provenance,source,citation_count,confidence,url,notes
1,A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration (DyLAN),Liu et al,2023,2310.02170,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Dynamic agent networks
2,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,Chen et al,2023,2308.10848,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Multi-agent frameworks
3,AutoAgents: A Framework for Automatic Agent Generation,Chen et al,2023,2309.17288,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Automatic agent generation
4,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,Wu et al,2023,2308.08155,seed,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;seed,curated-400;openalex:swe-benchmarks;openalex:topology,147,1.0,http://arxiv.org/abs/2308.08155,core; Multi-agent frameworks
5,"CAMEL: Communicative Agents for ""Mind"" Exploration of LLM Society",Li et al,2023,2303.17760,seed,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;seed,curated-400;openalex:classical-acl;openalex:finance-agents;openalex:topology,95,1.0,http://arxiv.org/abs/2303.17760,core; Agent communication
6,Generative Agents: Interactive Simulacra of Human Behavior,Park et al,2023,2304.03442,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Society of agents
7,War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,Hua et al,2023,2311.17227,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Historical/social simulation
8,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,Estornell et al,2024,2411.00053,seed,trend,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,trend; Learned collaboration
9,AgentScope: A Flexible yet Robust Multi-Agent Platform,Gao et al,2024,2402.14034,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Multi-agent platform
10,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,Fourney et al,2024,2411.04468,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Generalist multi-agent system
11,Scaling Large Language Model-based Multi-Agent Collaboration,Qian et al,2024,2406.07155,seed,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;seed,curated-400;openalex:collaboration,6,1.0,http://arxiv.org/abs/2406.07155,core; Collaboration scaling
12,AgentNet: Decentralized Evolutionary Coordination for LLM-based Multi-Agent Systems,Yang et al,2025,2504.00587,seed,core,LLM Multi-Agent Frameworks and Coordination,auto-map:openalex-query;seed,curated-400;openalex:collaboration;openalex:llm-mas;openalex:orchestration,9,1.0,https://doi.org/10.32388/ws0vim,core; Decentralized coordination
13,MAS-GPT: Training LLMs to Build LLM-based Multi-Agent Systems,Ye et al,2025,2503.03686,seed,trend,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,trend; Automated MAS construction
14,Multi-Agent Architecture Search via Agentic Supernet,Zhang et al,2025,2502.04180,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Architecture search
15,Multi-Agent Collaboration via Evolving Orchestration,Dang et al,2025,2505.19591,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Adaptive orchestration
16,OMAC: A Broad Optimization Framework for LLM-Based Multi-Agent Collaboration,Li et al,2025,2505.11765,seed,trend,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,trend; Collaboration optimization
17,Why Do Multi-Agent LLM Systems Fail?,Cemri et al,2025,2503.13657,seed,core,LLM Multi-Agent Frameworks and Coordination,seed,curated-400,0,1.0,,core; Failure analysis
18,Understanding Agent Scaling in LLM-Based Multi-Agent Systems via Diversity,Yang et al,2026,2602.03794,seed,core,LLM Multi-Agent Frameworks and Coordination,auto-map:arxiv-query;auto-map:openalex-query;seed,arxiv:llm-mas;curated-400;openalex:llm-mas,2,1.0,https://arxiv.org/abs/2602.03794,core; Scaling & diversity
19,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,Zhang et al,2025,OpenReview:LkzuPorQ5L,candidate,trend,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:llm-mas;openalex:topology,2,1.0,http://arxiv.org/abs/2410.02506,Communication pruning for economical MAS
20,Theory of Mind for Multi-Agent Collaboration via Large Language Models,Li et al,2023,2310.10701,candidate,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query;local-bib-auto,curated-400;local-bib;openalex:collaboration;openalex:minecraft-agents;openalex:planning;openalex:reasoning,55,1.0,https://doi.org/10.18653/v1/2023.emnlp-main.13,ToM prompts for collaborative agents
21,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,Talebirad & Nadiri,2023,2306.03314,watchlist,core,LLM Multi-Agent Frameworks and Coordination,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:collaboration;openalex:frameworks,53,1.0,http://arxiv.org/abs/2306.03314,Early broad collaboration framing
