rank,id,title,status,coverage_status,review_batch,note
1,2310.02170,A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration (DyLAN),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
2,2308.10848,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
3,2309.17288,AutoAgents: A Framework for Automatic Agent Generation,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
4,2308.08155,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
5,2303.17760,"CAMEL: Communicative Agents for ""Mind"" Exploration of LLM Society",seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
6,2304.03442,Generative Agents: Interactive Simulacra of Human Behavior,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
7,2311.17227,War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
8,2411.00053,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
9,2402.14034,AgentScope: A Flexible yet Robust Multi-Agent Platform,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
10,2411.04468,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
11,2406.07155,Scaling Large Language Model-based Multi-Agent Collaboration,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
12,2504.00587,AgentNet: Decentralized Evolutionary Coordination for LLM-based Multi-Agent Systems,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
13,2503.03686,MAS-GPT: Training LLMs to Build LLM-based Multi-Agent Systems,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
14,2502.04180,Multi-Agent Architecture Search via Agentic Supernet,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
15,2505.19591,Multi-Agent Collaboration via Evolving Orchestration,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
16,2505.11765,OMAC: A Broad Optimization Framework for LLM-Based Multi-Agent Collaboration,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
17,2503.13657,Why Do Multi-Agent LLM Systems Fail?,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
18,2602.03794,Understanding Agent Scaling in LLM-Based Multi-Agent Systems via Diversity,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
