rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_url,pdf_path,pdf_status,pdf_bytes,pdf_error,source_url,source_path,source_status,source_error,removal_reason,review_confidence
21,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,Talebirad & Nadiri,2023,2306.03314,watchlist,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration;openalex:frameworks,53,1.0,http://arxiv.org/abs/2306.03314,2306.03314,papers_extra/multi-agent-triaged/0021_2306.03314,https://arxiv.org/pdf/2306.03314.pdf,papers_extra/multi-agent-triaged/0021_2306.03314/paper.pdf,present,205755,,https://arxiv.org/e-print/2306.03314,papers_extra/multi-agent-triaged/0021_2306.03314/source,present,,"Conceptual/case-study reframing of Auto-GPT/BabyAGI/Gorilla; no real experiments, baselines, or multi-agent evidence.",5
29,GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,Nascimento et al,2023,2308.10435,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;local-bib,0,1.0,,2308.10435,papers_extra/multi-agent-triaged/0029_2308.10435,https://arxiv.org/pdf/2308.10435.pdf,papers_extra/multi-agent-triaged/0029_2308.10435/paper.pdf,present,807774,,https://arxiv.org/e-print/2308.10435,papers_extra/multi-agent-triaged/0029_2308.10435/source,present,,Single smart-streetlight controller case study; broad GPT-in-the-loop MAS claims lack MAS-specific baselines or coordination analysis.,4
46,Emergent Behaviors in Multi-Agent LLM Collaboration,Wang et al,2024,Artificial Intelligence Insights,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,,,,,unavailable,,"Exact title and venue did not resolve to a credible paper source in quick lookup; generic title, zero citation metadata, no URL/DOI/artifact, and dubious source make it obvious corpus noise.",4
47,Llm harmony: Multi-agent communication for problem solving,Rasal,2024,2401.01312,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,2401.01312,papers_extra/multi-agent-triaged/0047_2401.01312,https://arxiv.org/pdf/2401.01312.pdf,papers_extra/multi-agent-triaged/0047_2401.01312/paper.pdf,present,132474,,https://arxiv.org/e-print/2401.01312,papers_extra/multi-agent-triaged/0047_2401.01312/source,present,,"CAMEL/ChatDev-derived role-play system with weak benchmark handling, questionable comparisons, and no cost controls.",4
57,LLM-based Multi-Agent Systems: Techniques and Business Perspectives,Yang et al,2024,2411.14033,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:llm-mas,3,1.0,http://arxiv.org/abs/2411.14033,2411.14033,papers_extra/multi-agent-triaged/0057_2411.14033,https://arxiv.org/pdf/2411.14033.pdf,papers_extra/multi-agent-triaged/0057_2411.14033/paper.pdf,present,994432,,https://arxiv.org/e-print/2411.14033,papers_extra/multi-agent-triaged/0057_2411.14033/source,present,,Perspective/business-protocol piece rather than empirical research; broad ecosystem and monetization claims.,5
125,Quantifying the Impact of Large Language Models on Collective Opinion Dynamics,Li et al,2023,2308.03313,candidate,bridge,Agent Foundations and Infrastructure,curated-400,0,1.0,,2308.03313,papers_extra/multi-agent-triaged/0125_2308.03313,https://arxiv.org/pdf/2308.03313.pdf,papers_extra/multi-agent-triaged/0125_2308.03313/paper.pdf,present,1656803,,https://arxiv.org/e-print/2308.03313,papers_extra/multi-agent-triaged/0125_2308.03313/source,present,,"Opinion-dynamics model treats the LLM as an external scalar influence, not an LLM-driven MAS.",4
134,Generative Agent-Based Modeling: Unveiling Social System Dynamics through Coupling Mechanistic Models with Generative Artificial Intelligence,Ghaffarzadegan et al,2023,2309.11456,candidate,bridge,Agent Foundations and Infrastructure,curated-400,0,1.0,,2309.11456,papers_extra/multi-agent-triaged/0134_2309.11456,https://arxiv.org/pdf/2309.11456.pdf,papers_extra/multi-agent-triaged/0134_2309.11456/paper.pdf,present,944061,,https://arxiv.org/e-print/2309.11456,papers_extra/multi-agent-triaged/0134_2309.11456/source,present,,Generative agent-based modeling manifesto with toy norm-diffusion simulation; thin and superseded by stronger social-simulation artifacts.,4
219,GameGPT: Multi-agent Collaborative Framework for Game Development,Chen et al,2023,2310.08067,candidate,bridge,"Software, Web, and Computer-Use Agents",curated-400,0,1.0,,2310.08067,papers_extra/multi-agent-triaged/0219_2310.08067,https://arxiv.org/pdf/2310.08067.pdf,papers_extra/multi-agent-triaged/0219_2310.08067/paper.pdf,present,5247809,,https://arxiv.org/e-print/2310.08067,papers_extra/multi-agent-triaged/0219_2310.08067/source,present,,"Framework/proposal only; experiment section absent/commented out, no baselines or quantitative evaluation.",5
238,Skeleton-of-Thought: Large Language Models Can Do Parallel Decoding,Ning et al,2024,OpenReview:mqVgBbNCm9,watchlist,bridge,"Software, Web, and Computer-Use Agents",curated-400,0,1.0,,,papers_extra/multi-agent-triaged/0238_OpenReview_mqVgBbNCm9,https://openreview.net/pdf?id=mqVgBbNCm9,papers_extra/multi-agent-triaged/0238_OpenReview_mqVgBbNCm9/paper.pdf,present,1397414,,,,unavailable,,"False positive: strong parallel-decoding paper, but no agents/MAS and weak bridge value for this map.",5
261,Medical AI Consensus: A Multi-Agent Framework for Radiology Report Generation and Evaluation,Elboardy et al,2025,2509.17353,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,2509.17353,papers_extra/multi-agent-triaged/0261_2509.17353,https://arxiv.org/pdf/2509.17353.pdf,papers_extra/multi-agent-triaged/0261_2509.17353/paper.pdf,present,7220400,,https://arxiv.org/e-print/2509.17353,papers_extra/multi-agent-triaged/0261_2509.17353/source,present,,"Thin radiology consensus framework; one weak LLM-judge case study, no real baselines or ablations.",4
