batch,assigned_rows,reviewed_output_rows,keep,remove,needs_followup,notes
batch-01,97,0,96,1,0,Prior review batch had removal-only output; retained rows inferred from canonical removal audit.
batch-02,97,0,92,5,0,Prior review batch had removal-only output; retained rows inferred from canonical removal audit.
batch-03,97,0,92,5,0,Prior review batch had removal-only output; retained rows inferred from canonical removal audit.
batch-04,97,0,91,6,0,Prior review batch had removal-only output; retained rows inferred from canonical removal audit.
batch-05,97,0,88,9,0,Prior review batch had removal-only output; retained rows inferred from canonical removal audit.
batch-06,94,0,92,2,0,Prior review batch had removal-only output; retained rows inferred from canonical removal audit.
batch-07,20,20,19,1,0,Per-row reviewed output present.
batch-08,20,20,18,1,1,Per-row reviewed output present.
batch-09,20,20,19,1,0,Per-row reviewed output present.
batch-10,20,20,16,1,3,Per-row reviewed output present.
batch-11,20,20,18,2,0,Per-row reviewed output present.
batch-12,20,20,12,4,4,Per-row reviewed output present.
batch-13,20,20,13,7,0,Per-row reviewed output present.
batch-14,20,20,15,0,5,Per-row reviewed output present.
batch-15,20,20,17,3,0,Per-row reviewed output present.
batch-16,20,20,18,1,1,Per-row reviewed output present.
batch-17,20,20,16,2,2,Per-row reviewed output present.
batch-18,20,20,16,2,2,Per-row reviewed output present.
batch-19,20,20,18,2,0,Per-row reviewed output present.
batch-20,10,10,5,5,0,Per-row reviewed output present.
previously-removed-no-current-batch,51,0,0,51,0,Rows already absent from manifest before this pass; preserved in canonical removal audit.
