rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_url,pdf_path,pdf_status,pdf_bytes,pdf_error,source_url,source_path,source_status,source_error,removal_reason,review_confidence,review_batch
29,GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,Nascimento et al,2023,2308.10435,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;local-bib,0,1.0,,2308.10435,papers_extra/multi-agent-triaged/0029_2308.10435,https://arxiv.org/pdf/2308.10435.pdf,papers_extra/multi-agent-triaged/0029_2308.10435/paper.pdf,present,807774,,https://arxiv.org/e-print/2308.10435,papers_extra/multi-agent-triaged/0029_2308.10435/source,present,,Single smart-streetlight controller case study; broad GPT-in-the-loop MAS claims lack MAS-specific baselines or coordination analysis.,4,previous-canonical
279,A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?,Kristiadi et al,2024,2402.05015,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,2402.05015,papers_extra/multi-agent-triaged/0279_2402.05015,https://arxiv.org/pdf/2402.05015.pdf,papers_extra/multi-agent-triaged/0279_2402.05015/paper.pdf,present,1460707,,https://arxiv.org/e-print/2402.05015,papers_extra/multi-agent-triaged/0279_2402.05015/source,present,,"False positive for this map: careful LLM/materials Bayesian-optimization study, but no agent or multi-agent mechanism and weak bridge value for LLM-driven MAS literature.",4,previous-canonical
286,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,Hossain et al,2025,2509.14285,watchlist,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2509.14285,papers_extra/multi-agent-triaged/0286_2509.14285,https://arxiv.org/pdf/2509.14285.pdf,papers_extra/multi-agent-triaged/0286_2509.14285/paper.pdf,present,322579,,https://arxiv.org/e-print/2509.14285,papers_extra/multi-agent-triaged/0286_2509.14285/source,present,,Small handcrafted prompt-injection defense study; reports perfect mitigation on 55 attacks/400 instances without robust agent benchmarks or stress tests.,4,previous-canonical
300,Alignment Faking in Large Language Models,Greenblatt et al,2024,2412.14093,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2412.14093,papers_extra/multi-agent-triaged/0300_2412.14093,https://arxiv.org/pdf/2412.14093.pdf,papers_extra/multi-agent-triaged/0300_2412.14093/paper.pdf,present,3236586,,https://arxiv.org/e-print/2412.14093,papers_extra/multi-agent-triaged/0300_2412.14093/source,present,,"High-quality model-safety paper, but it studies single-model alignment faking rather than agent or multi-agent mechanisms; weak bridge value for this corpus.",4,previous-canonical
302,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,Hubinger et al,2024,2401.05566,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2401.05566,papers_extra/multi-agent-triaged/0302_2401.05566,https://arxiv.org/pdf/2401.05566.pdf,papers_extra/multi-agent-triaged/0302_2401.05566/paper.pdf,present,3696766,,https://arxiv.org/e-print/2401.05566,papers_extra/multi-agent-triaged/0302_2401.05566/source,present,,Backdoored/deceptive LLM training study despite the title; no LLM-agent or multi-agent system contribution.,4,previous-canonical
306,Model Evaluation for Extreme Risks,Shevlane et al,2023,2305.15324,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2305.15324,papers_extra/multi-agent-triaged/0306_2305.15324,https://arxiv.org/pdf/2305.15324.pdf,papers_extra/multi-agent-triaged/0306_2305.15324/paper.pdf,present,803928,,https://arxiv.org/e-print/2305.15324,papers_extra/multi-agent-triaged/0306_2305.15324/source,present,,Broad extreme-risk evaluation framework/policy paper with no agent or MAS technical contribution or empirical multi-agent evidence.,4,previous-canonical
361,Population Based Training of Neural Networks,Jaderberg et al,2017,1711.09846,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1711.09846,papers_extra/multi-agent-triaged/0361_1711.09846,https://arxiv.org/pdf/1711.09846.pdf,papers_extra/multi-agent-triaged/0361_1711.09846/paper.pdf,present,2370925,,https://arxiv.org/e-print/1711.09846,papers_extra/multi-agent-triaged/0361_1711.09846/source,present,,"High-quality population-based optimization paper, but not LLM-driven or multi-agent-system research; weak anchor value for this corpus.",4,previous-canonical
412,MatPilot: an LLM-enabled AI Materials Scientist under the Framework of Human-Machine Collaboration,"Ni, Ziqi, Li, Yahao, Hu, Kaijia et al",2024,2411.08063,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:ai-scientist;openalex:scientific-agents,5,0.92,http://arxiv.org/abs/2411.08063,2411.08063,papers_extra/multi-agent-triaged/0412_2411.08063,https://arxiv.org/pdf/2411.08063.pdf,papers_extra/multi-agent-triaged/0412_2411.08063/paper.pdf,present,757006,,https://arxiv.org/e-print/2411.08063,papers_extra/multi-agent-triaged/0412_2411.08063/source,present,,Materials-scientist framework/demo with broad AI-scientist claims but no rigorous task benchmark or comparative multi-agent evaluation.,4,previous-canonical
507,EPM-RL: Reinforcement Learning for On-Premise Product Mapping in E-Commerce,Minhyeong Yu et al,2026,2604.23993,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:llm-multi-agent,0,0.92,https://arxiv.org/abs/2604.23993,2604.23993,papers_extra/multi-agent-triaged/0507_2604.23993,https://arxiv.org/pdf/2604.23993.pdf,papers_extra/multi-agent-triaged/0507_2604.23993/paper.pdf,present,627638,,https://arxiv.org/e-print/2604.23993,papers_extra/multi-agent-triaged/0507_2604.23993/source,present,,"Primarily a single-model e-commerce product-mapping/RL distillation paper; multi-agent content is incidental, the benchmark is internal/non-public, and the source retains ACM sample-template artifacts.",4,previous-canonical
519,FGDM: Reasoning Aware Multi-Agentic Framework for Software Bug Detection using Chain of Thought and Tree of Thought Prompting,Srita Padmanabhuni et al,2026,2604.24831,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:llm-multi-agent,0,0.89,https://arxiv.org/abs/2604.24831,2604.24831,papers_extra/multi-agent-triaged/0519_2604.24831,https://arxiv.org/pdf/2604.24831.pdf,papers_extra/multi-agent-triaged/0519_2604.24831/paper.pdf,present,2851431,,https://arxiv.org/e-print/2604.24831,papers_extra/multi-agent-triaged/0519_2604.24831/source,present,,Prompted bug-detection pipeline; evaluation relies on 100 programs and edit/similarity proxies rather than validated bug-fix correctness.,4,previous-canonical
536,ROSClaw: A Hierarchical Semantic-Physical Framework for Heterogeneous Multi-Agent Collaboration,Rongfeng Zhao et al,2026,2604.04664,candidate,trend,"Debate, Reasoning, and Aggregation",arxiv:collaboration,0,0.85,https://arxiv.org/abs/2604.04664,2604.04664,papers_extra/multi-agent-triaged/0536_2604.04664,https://arxiv.org/pdf/2604.04664.pdf,papers_extra/multi-agent-triaged/0536_2604.04664/paper.pdf,present,18289433,,https://arxiv.org/e-print/2604.04664,papers_extra/multi-agent-triaged/0536_2604.04664/source,present,,"Robotics framework supported mainly by illustrative heterogeneous-robot demos and rough time claims, without systematic baselines or reliability metrics.",4,previous-canonical
583,CreativeGame:Toward Mechanic-Aware Creative Game Generation,Hongnan Ma et al,2026,2604.19926,candidate,trend,Agent Foundations and Infrastructure,arxiv:llm-multi-agent,0,0.75,https://arxiv.org/abs/2604.19926,2604.19926,papers_extra/multi-agent-triaged/0583_2604.19926,https://arxiv.org/pdf/2604.19926.pdf,papers_extra/multi-agent-triaged/0583_2604.19926/paper.pdf,present,598181,,https://arxiv.org/e-print/2604.19926,papers_extra/multi-agent-triaged/0583_2604.19926/source,present,,"Game-generation technical report with internal prompts, proxy creativity/playability metrics, and no validated human or benchmark evaluation.",4,previous-canonical
601,Numerical Instability and Chaos: Quantifying the Unpredictability of Large Language Models,Chashi Mahiul Islam et al,2026,2604.13206,candidate,bridge,Agent Foundations and Infrastructure,arxiv:workflow,0,0.67,https://arxiv.org/abs/2604.13206,2604.13206,papers_extra/multi-agent-triaged/0601_2604.13206,https://arxiv.org/pdf/2604.13206.pdf,papers_extra/multi-agent-triaged/0601_2604.13206/paper.pdf,present,3780829,,https://arxiv.org/e-print/2604.13206,papers_extra/multi-agent-triaged/0601_2604.13206/source,present,,False positive for this map: studies numerical instability in LLM inference with only incidental MAS/agent-workflow discussion.,4,previous-canonical
604,IndexCache: Accelerating Sparse Attention via Cross-Layer Index Reuse,Yushi Bai et al,2026,2603.12201,candidate,bridge,Agent Foundations and Infrastructure,arxiv:workflow,0,0.67,https://arxiv.org/abs/2603.12201,2603.12201,papers_extra/multi-agent-triaged/0604_2603.12201,https://arxiv.org/pdf/2603.12201.pdf,papers_extra/multi-agent-triaged/0604_2603.12201/paper.pdf,present,533208,,https://arxiv.org/e-print/2603.12201,papers_extra/multi-agent-triaged/0604_2603.12201/source,present,,Off-scope corpus noise for this multi-agent map: sparse-attention/inference-acceleration paper with only incidental agentic-workflow motivation and no LLM-agent or multi-agent mechanism.,5,previous-canonical
618,ADAM: An AI Reasoning and Bioinformatics Model for Alzheimer's Disease Detection and Microbiome-Clinical Data Integration,Ziyuan Huang et al,2025,2501.08324,candidate,trend,Benchmarks and Evaluation,arxiv:reasoning,0,0.92,https://arxiv.org/abs/2501.08324,2501.08324,papers_extra/multi-agent-triaged/0618_2501.08324,https://arxiv.org/pdf/2501.08324.pdf,papers_extra/multi-agent-triaged/0618_2501.08324/paper.pdf,present,1542771,,https://arxiv.org/e-print/2501.08324,papers_extra/multi-agent-triaged/0618_2501.08324/source,present,,"Weak MAS contribution in a high-stakes biomedical setting: mostly a sequential XGBoost/SHAP plus GPT-4o summarization/classification pipeline, with no convincing multi-agent ablation and only a small dataset.",4,previous-canonical
624,ART: Adaptive Response Tuning Framework -- A Multi-Agent Tournament-Based Approach to LLM Response Optimization,Omer Jauhar Khan,2025,2512.00617,candidate,trend,Benchmarks and Evaluation,arxiv:reasoning,0,0.92,https://arxiv.org/abs/2512.00617,2512.00617,papers_extra/multi-agent-triaged/0624_2512.00617,https://arxiv.org/pdf/2512.00617.pdf,papers_extra/multi-agent-triaged/0624_2512.00617/paper.pdf,present,841331,,https://arxiv.org/e-print/2512.00617,papers_extra/multi-agent-triaged/0624_2512.00617/source,present,,Tournament-response framework evaluated with mock agents rather than real LLM-agent experiments; broad reliability claims unsupported.,4,previous-canonical
675,Rethinking Software Engineering for Agentic AI Systems,Mamdouh Alenezi,2026,2604.10599,candidate,trend,"Software, Web, and Computer-Use Agents",arxiv:workflow,0,0.92,https://arxiv.org/abs/2604.10599,2604.10599,papers_extra/multi-agent-triaged/0675_2604.10599,https://arxiv.org/pdf/2604.10599.pdf,papers_extra/multi-agent-triaged/0675_2604.10599/paper.pdf,present,549477,,https://arxiv.org/e-print/2604.10599,papers_extra/multi-agent-triaged/0675_2604.10599/source,present,,Position/literature-synthesis paper on agentic software engineering with no primary MAS mechanism or empirical evaluation.,4,previous-canonical
751,"Sema Code: Decoupling AI Coding Agents into Programmable, Embeddable Infrastructure",Huacan Wang et al,2026,2604.11045,candidate,bridge,"Software, Web, and Computer-Use Agents",arxiv:software-agents,0,0.8,https://arxiv.org/abs/2604.11045,2604.11045,papers_extra/multi-agent-triaged/0751_2604.11045,https://arxiv.org/pdf/2604.11045.pdf,papers_extra/multi-agent-triaged/0751_2604.11045/paper.pdf,present,7792284,,https://arxiv.org/e-print/2604.11045,papers_extra/multi-agent-triaged/0751_2604.11045/source,present,,"Coding-agent architecture/deployment report without a task benchmark, stress test, or comparative agent-quality evaluation.",4,previous-canonical
757,A Multi-agent Reinforcement Learning Study of Evolution of Communication and Teaching under Libertarian and Utilitarian Governing Systems,Aslan S. Dizaji,2024,2403.02369,candidate,bridge,Scientific and Domain Agents,arxiv:social-dilemmas,0,0.92,https://arxiv.org/abs/2403.02369,2403.02369,papers_extra/multi-agent-triaged/0757_2403.02369,https://arxiv.org/pdf/2403.02369.pdf,papers_extra/multi-agent-triaged/0757_2403.02369/paper.pdf,present,5422895,,https://arxiv.org/e-print/2403.02369,papers_extra/multi-agent-triaged/0757_2403.02369/source,present,,"Corpus noise for an LLM-driven agent map and weak rigor: no LLM component, tentative MARL simulation, one run per parameter setting, and no statistical validation.",5,previous-canonical
761,Agentic LLM Workflows for Generating Patient-Friendly Medical Reports,"Sudarshan, Malavikha, Shih, Sophie, Yee, Estella et al",2024,2408.01112,candidate,core,Scientific and Domain Agents,openalex:medical-agents,8,0.92,http://arxiv.org/abs/2408.01112,2408.01112,papers_extra/multi-agent-triaged/0761_2408.01112,https://arxiv.org/pdf/2408.01112.pdf,papers_extra/multi-agent-triaged/0761_2408.01112/paper.pdf,present,4381709,,https://arxiv.org/e-print/2408.01112,papers_extra/multi-agent-triaged/0761_2408.01112/source,present,,Tiny 16-report radiology workflow demo; broad clinical claims rest on limited Reflexion-style evaluation and weak MAS specificity.,4,previous-canonical
765,ChemGraph-XANES: An Agentic Framework for XANES Simulation and Analysis,Vitor F. Grizzi et al,2026,2604.16205,candidate,trend,Scientific and Domain Agents,arxiv:llm-multi-agent,0,0.92,https://arxiv.org/abs/2604.16205,2604.16205,papers_extra/multi-agent-triaged/0765_2604.16205,https://arxiv.org/pdf/2604.16205.pdf,papers_extra/multi-agent-triaged/0765_2604.16205/paper.pdf,present,951629,,https://arxiv.org/e-print/2604.16205,papers_extra/multi-agent-triaged/0765_2604.16205/source,present,,Agentic XANES workflow/demo; example-based parameter retrieval and execution rather than comparative agent or MAS evidence.,4,previous-canonical
782,MACC: Multi-Agent Collaborative Competition for Scientific Exploration,Satoshi Oyama et al,2026,2603.03780,candidate,trend,Scientific and Domain Agents,arxiv:collaboration,0,0.87,https://arxiv.org/abs/2603.03780,2603.03780,papers_extra/multi-agent-triaged/0782_2603.03780,https://arxiv.org/pdf/2603.03780.pdf,papers_extra/multi-agent-triaged/0782_2603.03780/paper.pdf,present,592094,,https://arxiv.org/e-print/2603.03780,papers_extra/multi-agent-triaged/0782_2603.03780/source,present,,AAMAS Blue Sky architecture/proposal for scientific competitions; no implemented system or empirical evaluation.,4,previous-canonical
783,From Visual Perception to Deep Empathy: An Automated Assessment Framework for House-Tree-Person Drawings Using Multimodal LLMs and Multi-Agent Collaboration,Shuide Wen et al,2025,2512.21360,candidate,trend,Scientific and Domain Agents,arxiv:collaboration,0,0.87,https://arxiv.org/abs/2512.21360,2512.21360,papers_extra/multi-agent-triaged/0783_2512.21360,https://arxiv.org/pdf/2512.21360.pdf,papers_extra/multi-agent-triaged/0783_2512.21360/paper.pdf,present,627430,,https://arxiv.org/e-print/2512.21360,papers_extra/multi-agent-triaged/0783_2512.21360/source,present,,"High-stakes psychological assessment with weak validation: relies on embedding similarity to expert narratives and qualitative cases, with no clinical outcome validation, baselines, calibration, or convincing multi-agent ablation.",5,previous-canonical
802,MountainLion: A Multi-Modal LLM-Based Agent System for Interpretable and Adaptive Financial Trading,"Wu, Siyi, Wang, Junqiao, Guan, Zhaoyang et al",2025,2507.20474,candidate,trend,Scientific and Domain Agents,openalex:finance-agents,0,0.8,http://arxiv.org/abs/2507.20474,2507.20474,papers_extra/multi-agent-triaged/0802_2507.20474,https://arxiv.org/pdf/2507.20474.pdf,papers_extra/multi-agent-triaged/0802_2507.20474/paper.pdf,present,834663,,https://arxiv.org/e-print/2507.20474,papers_extra/multi-agent-triaged/0802_2507.20474/source,present,,"High-stakes financial-trading claims are unsupported; mostly architecture/demo narrative, no credible backtest or risk-adjusted baseline comparison, and multi-agent contribution is superficial.",4,previous-canonical
