rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
399,AIJ 86(2),SharedPlans: A Model of Collaborative Plans and Intentions,keep,9,5,"Classic collaborative planning and intention foundation; highly relevant MAS anchor despite unresolved local artifact."
400,FIPA SC00061,FIPA ACL Message Structure Specification,keep,8,5,"Foundational agent communication language specification; useful classical MAS anchor for communication protocols."
401,https://doi.org/10.1145/3640457.3688061,A Hybrid Multi-Agent Conversational Recommender System with LLM and Search Engine in E-commerce,keep,6,3,"ACM/industry-style LLM multi-agent recommender with latency and scalability motivation; relevant enough for deeper review."
402,https://doi.org/10.5281/zenodo.18786200,Agentic AI Project Manager: Multi-Agent Orchestration with Local LLMs,remove,2,4,"Zenodo/OpenAlex-only 2026 project artifact with zero citations and broad implementation claims around CrewAI/local models; obvious low-rigor corpus noise."
403,https://doi.org/10.3390/smartcities8010019,LLM Agents for Smart City Management: Enhancing Decision Support Through Multi-Agent AI Systems,keep,5,3,"Application-oriented LLM agent/MAS smart-city paper with citations and journal venue; may be narrow but plausibly useful."
406,https://doi.org/10.35542/osf.io/kq8zh_v1,Automating Thematic Analysis with Multi-Agent LLM Systems,keep,5,3,"OSF/preprint-style artifact but directly studies multi-agent LLM thematic analysis; plausible relevance warrants follow-up rather than pruning."
407,https://doi.org/10.1109/airc64931.2025.11077480,LLM-Powered Multi-Agent Systems: A Technical Framework for Collaborative Intelligence Through Optimized Knowledge Retrieval and Communication,keep,4,3,"Generic framework claims and limited citations, but IEEE proceedings DOI and direct LLM-MAS framing make it a conservative keep for deeper review."
410,https://doi.org/10.1109/tccn.2025.3528892,AutoHMA-LLM: Efficient Task Coordination and Execution in Heterogeneous Multi-Agent Systems Using Hybrid Large Language Models,keep,6,4,"IEEE Transactions paper with citations; directly addresses heterogeneous MAS coordination with LLM planners and execution agents."
411,https://doi.org/10.2139/ssrn.4921381,Metaopenfoam: An Llm-Based Multi-Agent Framework for Cfd,keep,5,3,"SSRN/domain application, but title and citations indicate a concrete LLM multi-agent CFD framework; not obvious noise."
413,https://doi.org/10.18653/v1/2025.emnlp-main.623,Understanding the Information Propagation Effects of Communication Topologies in LLM-based Multi-Agent Systems,keep,8,4,"EMNLP main paper on communication topology and information/error propagation; strong multi-agent specificity and clear corpus relevance."
414,https://doi.org/10.1145/3696410.3714595,Thematic-LM: A LLM-based Multi-agent System for Large-scale Thematic Analysis,keep,6,4,"ACM paper on multi-agent thematic analysis with a concrete large-scale workflow; application-specific but credible."
419,https://doi.org/10.3389/fhumd.2025.1579166,Human-artificial interaction in the age of agentic AI: a system-theoretical approach,keep,5,3,"Conceptual and HCI-oriented rather than core LLM-MAS, but cited and relevant to human/AI coordination frameworks."
421,https://doi.org/10.1039/d4dd00013g,ProtAgents: protein discovery via large language model multi-agent collaborations combining physics and machine learning,keep,7,4,"Well-cited domain application using LLM multi-agent collaboration for protein/materials discovery; credible and practically informative."
422,https://doi.org/10.3389/frai.2025.1593017,Multi-agent systems powered by large language models: applications in swarm intelligence,keep,6,4,"Journal paper connecting LLM-driven agents to swarm simulations; directly relevant to MAS behavior despite applied scope."
423,https://doi.org/10.52202/079017-4397,Reflective Multi-Agent Collaboration based on Large Language Models,keep,8,4,"NeurIPS proceedings paper on reflective LLM multi-agent collaboration; strong enough to keep even without local artifact."
424,https://doi.org/10.1109/tccn.2024.3482354,Semantic Information Extraction and Multi-Agent Communication Optimization Based on Generative Pre-Trained Transformer,keep,6,4,"IEEE Transactions paper focused on LLM-assisted semantic communication optimization among agents; relevant communication mechanism."
425,https://doi.org/10.1109/access.2025.3548451,LLM-Driven Social Influence for Cooperative Behavior in Multi-Agent Systems,keep,5,3,"IEEE Access theoretical/application paper on LLM-driven influence in MAS; potentially narrow but relevant to cooperation mechanisms."
426,https://doi.org/10.1109/ispds67367.2025.11390999,Modular Task Decomposition and Dynamic Collaboration in Multi-Agent Systems Driven by Large Language Models,keep,4,3,"Generic task-decomposition framework and limited metadata, but IEEE proceedings DOI and citations make it a conservative keep."
427,https://doi.org/10.1109/tits.2025.3564389,EV Charging System Considering Power Dispatching Based on Multi-Agent LLMs and CGAN,keep,5,3,"Domain-specific IEEE Transactions paper using user/station LLM agents for negotiation and dispatch; relevant enough for application coverage."
428,https://doi.org/10.1016/j.aei.2025.104246,AirfoilAgent: Airfoil aerodynamics optimization design via large language model multi-agent collaborations,keep,6,3,"Elsevier Advanced Engineering Informatics domain paper with explicit LLM multi-agent collaboration; keep for applied-agent coverage."
