rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_url,pdf_path,pdf_status,pdf_bytes,pdf_error,source_url,source_path,source_status,source_error,removal_reason,review_confidence,review_batch
46,Emergent Behaviors in Multi-Agent LLM Collaboration,Wang et al,2024,Artificial Intelligence Insights,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,,,,,unavailable,,"Exact title and venue did not resolve to a credible paper source in quick lookup; generic title, zero citation metadata, no URL/DOI/artifact, and dubious source make it obvious corpus noise.",4,batch-07
275,Large Language Models to Accelerate Organic Chemistry Synthesis,Zhang et al,2025,DOI:10.1038/s42256-025-01066-y,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,,,,,unresolved,,,,,unavailable,,Credible chemistry LLM paper but metadata and quick lookup indicate a fine-tuned chemistry assistant/model for synthesis rather than a multi-agent system or coordination study.,4,batch-08
402,Agentic AI Project Manager: Multi-Agent Orchestration with Local LLMs,Aryan Kamble,2026,https://doi.org/10.5281/zenodo.18786200,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:orchestration,0,0.92,https://openalex.org/W7131706351,,,,,unresolved,,,,,unavailable,,Zenodo/OpenAlex-only 2026 project artifact with zero citations and broad implementation claims around CrewAI/local models; obvious low-rigor corpus noise.,4,batch-09
456,Autonomous network monitoring using LLMs and multi-agent systems,Oluwatosin Oladayo Aramide,2024,https://doi.org/10.30574/wjaets.2024.13.2.0639,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,6,0.92,https://doi.org/10.30574/wjaets.2024.13.2.0639,,,,,unresolved,,,,,unavailable,,Weak venue signal and inspected text is broad and claim-heavy with little apparent rigorous LLM multi-agent evaluation; obvious low-quality corpus noise for this map.,4,batch-10
459,Integrity Beyond the Trust Boundary — External Differential Monitoring in LLM Multi-Agent Systems,"Seki, Takayyuki",2026,https://doi.org/10.5281/zenodo.19329992,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,4,0.89,https://doi.org/10.5281/zenodo.19329992,,,,,unresolved,,,,,unavailable,,Zenodo-only record with no discoverable venue trail or reliable metadata from quick lookup; security framing is relevant but artifact signal is too weak for this corpus pass.,3,batch-11
464,LLM-Based multi-agent system for individual investment in energy and natural resources,"Alexander Zaleski, Jaroslaw A. Chudziak",2025,https://doi.org/10.24425/ijet.2025.153538,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,3,0.87,https://doi.org/10.24425/ijet.2025.153538,,,,,unresolved,,,,,unavailable,,Short narrow investment-advisory platform paper with weak evidence of generalizable multi-agent research contribution; likely demo-level application noise.,3,batch-11
494,Communication Structure Adaptive Control and Collaborative Optimization for Multi-Agent Systems Based on Deepseek Large Language Model,Yi Wang,2025,https://doi.org/10.2139/ssrn.5193257,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:topology,0,0.75,https://doi.org/10.2139/ssrn.5193257,,,,,unresolved,,,,,unavailable,,SSRN single-author preprint with zero citations and no references in Crossref; framing appears to graft DeepSeek/LLM language onto a broad adaptive-control survey without clear LLM multi-agent evidence.,4,batch-12
526,A matching problem between two decoupled multi-agent systems with reference tracking capabilities,"Giuseppe Fedele, Luigi D’Alfonso, Boli Chen",2024,https://doi.org/10.1016/j.automatica.2024.112047,candidate,bridge,"Debate, Reasoning, and Aggregation",openalex:emergent-communication,7,0.92,https://doi.org/10.1016/j.automatica.2024.112047,,,,,unresolved,,,,,unavailable,,"Credible Automatica control paper, but quick Crossref/reference inspection shows conventional multi-agent control and matching, not LLM-driven or language-agent work; false positive for this corpus.",5,batch-12
529,Enhancing participatory planning with ChatGPT-assisted planning support systems: a hypothetical case study in Seoul,"Steven Jige Quan, Seojung Lee",2025,https://doi.org/10.1080/12265934.2025.2462823,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:web-agents,12,0.92,https://doi.org/10.1080/12265934.2025.2462823,,,,,unresolved,,,,,unavailable,,"Urban planning journal article about ChatGPT-assisted planning support, with no evidence from metadata/references of a multi-agent LLM system; low multi-agent specificity for this map.",4,batch-12
530,Co-LLaVA: Efficient Remote Sensing Visual Question Answering via Model Collaboration,"Fan Liu, Wenwen Dai, Chuanyi Zhang et al",2025,https://doi.org/10.3390/rs17030466,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:debate,4,0.92,https://doi.org/10.3390/rs17030466,,,,,unresolved,,,,,unavailable,,"Inspected abstract frames Co-LLaVA as LVLM plus contrastive captioner model collaboration that reduces cost versus multi-agent debate, not as a multi-agent LLM system; false positive.",4,batch-12
538,Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval,"Chirag Agarwal, Naresh Erukulla, Rachit Gupta",2026,https://doi.org/10.63278/jicrcr.vi.3596,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:orchestration,0,0.85,https://doi.org/10.63278/jicrcr.vi.3596,,,,,unresolved,,,,,unavailable,,Quick DOI check shows a short generic 2026 OJS article in an off-topic crisis/risk communication journal with broad unverified claims and no visible rigorous multi-agent contribution.,4,batch-13
540,An Intelligent LLM-Powered Personalized Assistant for Digital Banking Using LangGraph and Chain of Thoughts,"Arafat Md Easin, Saha Sourav, Orosz Tamás",2024,https://doi.org/10.1109/sisy62279.2024.10737601,candidate,core,"Debate, Reasoning, and Aggregation",openalex:mobile-agents;openalex:reasoning,20,0.92,https://doi.org/10.1109/sisy62279.2024.10737601,,,,,unresolved,,,,,unavailable,,Metadata describes a single personalized banking assistant using LangGraph and chain-of-thought rather than a multi-agent system; likely corpus noise from broad agent/workflow matching.,3,batch-13
563,LLM-Driven DAG Planning with Topological Execution for Multi-Agent AI Orchestration,"Maluskar, Hrishikesh",2026,https://doi.org/10.5281/zenodo.18911464,candidate,trend,Agent Foundations and Infrastructure,openalex:orchestration,0,0.85,https://openalex.org/W7134179185,,,,,unresolved,,,,,unavailable,,Zenodo page describes a single-author personal assistant system with thin system-specific metrics and broad orchestration claims; too weak and self-published for this pruning pass.,4,batch-13
580,Associative Memory Fields: Zero-Infrastructure Spreading Activation for LLM Multi-Agent Systems,"Seki, Takayuki",2026,https://doi.org/10.5281/zenodo.19426917,candidate,trend,Agent Foundations and Infrastructure,openalex:llm-mas,2,0.84,https://doi.org/10.5281/zenodo.19426917,,,,,unresolved,,,,,unavailable,,Zenodo page describes a Buddys Architecture Series note with only 12 probe queries and highly system-specific memory claims; obvious thin-evidence self-published artifact.,4,batch-13
587,Reshaping Robot Trajectories Using Natural Language Commands: A Study of Multi-Modal Data Alignment Using Transformers,"Arthur Bucker, Luis Figueredo, Sami Haddadinl et al",2022,https://doi.org/10.1109/iros47612.2022.9981810,candidate,bridge,Agent Foundations and Infrastructure,openalex:collaboration;openalex:robot-collaboration,43,0.92,https://doi.org/10.1109/iros47612.2022.9981810,,,,,unresolved,,,,,unavailable,,"Credible robotics paper but metadata indicates language-conditioned trajectory reshaping with transformers, not LLM-driven multi-agent coordination; likely source-matching noise.",3,batch-13
588,Q-Learning Algorithms: A Comprehensive Classification and Applications,"Beakcheol Jang, Myeonghwi Kim, Gaspard Harerimana et al",2019,https://doi.org/10.1109/access.2019.2941229,candidate,bridge,Agent Foundations and Infrastructure,openalex:computer-control,591,0.9,https://doi.org/10.1109/access.2019.2941229,,,,,unresolved,,,,,unavailable,,High-citation survey but too broad: Q-learning classification/applications rather than LLM agents or multi-agent coordination; low specificity for this corpus.,3,batch-13
589,Research on Integrity Check Method of Cloud Storage Multi-Copy Data Based on Multi-Agent,"Chunbo Wang, Xiaoqiang Di",2020,https://doi.org/10.1109/access.2020.2966803,candidate,bridge,Agent Foundations and Infrastructure,openalex:workflow-generation,14,0.9,https://doi.org/10.1109/access.2020.2966803,,,,,unresolved,,,,,unavailable,,Cloud-storage integrity checking paper using generic multi-agent terminology; no LLM relevance and little practical value for a multi-agent LLM literature map.,4,batch-13
716,AI Agents Assisted Platform for Secure Quantum-Classical Networking Education,"Abhishek Parakh, Mahadevan Subramaniam",2025,https://doi.org/10.1145/3769694.3771146,candidate,trend,"Software, Web, and Computer-Use Agents",openalex:gui-agents,1,0.92,https://doi.org/10.1145/3769694.3771146,,,,,unresolved,,,,,unavailable,,Education platform paper appears to use AI agents as instructional tooling rather than making a technical LLM multi-agent contribution; weak corpus fit and low citation signal.,4,batch-15
