rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_url,pdf_path,pdf_status,pdf_bytes,pdf_error,source_url,source_path,source_status,source_error,removal_reason,review_confidence,review_batch
29,GPT-in-the-Loop: Adaptive Decision-Making for Multiagent Systems,Nascimento et al,2023,2308.10435,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;local-bib,0,1.0,,2308.10435,papers_extra/multi-agent-triaged/0029_2308.10435,https://arxiv.org/pdf/2308.10435.pdf,papers_extra/multi-agent-triaged/0029_2308.10435/paper.pdf,present,807774,,https://arxiv.org/e-print/2308.10435,papers_extra/multi-agent-triaged/0029_2308.10435/source,present,,Single smart-streetlight controller case study; broad GPT-in-the-loop MAS claims lack MAS-specific baselines or coordination analysis.,4,previous-canonical
46,Emergent Behaviors in Multi-Agent LLM Collaboration,Wang et al,2024,Artificial Intelligence Insights,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,,,,,unavailable,,"Exact title and venue did not resolve to a credible paper source in quick lookup; generic title, zero citation metadata, no URL/DOI/artifact, and dubious source make it obvious corpus noise.",4,batch-07
275,Large Language Models to Accelerate Organic Chemistry Synthesis,Zhang et al,2025,DOI:10.1038/s42256-025-01066-y,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,,,,,unresolved,,,,,unavailable,,Credible chemistry LLM paper but metadata and quick lookup indicate a fine-tuned chemistry assistant/model for synthesis rather than a multi-agent system or coordination study.,4,batch-08
279,A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?,Kristiadi et al,2024,2402.05015,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,2402.05015,papers_extra/multi-agent-triaged/0279_2402.05015,https://arxiv.org/pdf/2402.05015.pdf,papers_extra/multi-agent-triaged/0279_2402.05015/paper.pdf,present,1460707,,https://arxiv.org/e-print/2402.05015,papers_extra/multi-agent-triaged/0279_2402.05015/source,present,,"False positive for this map: careful LLM/materials Bayesian-optimization study, but no agent or multi-agent mechanism and weak bridge value for LLM-driven MAS literature.",4,previous-canonical
286,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,Hossain et al,2025,2509.14285,watchlist,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2509.14285,papers_extra/multi-agent-triaged/0286_2509.14285,https://arxiv.org/pdf/2509.14285.pdf,papers_extra/multi-agent-triaged/0286_2509.14285/paper.pdf,present,322579,,https://arxiv.org/e-print/2509.14285,papers_extra/multi-agent-triaged/0286_2509.14285/source,present,,Small handcrafted prompt-injection defense study; reports perfect mitigation on 55 attacks/400 instances without robust agent benchmarks or stress tests.,4,previous-canonical
300,Alignment Faking in Large Language Models,Greenblatt et al,2024,2412.14093,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2412.14093,papers_extra/multi-agent-triaged/0300_2412.14093,https://arxiv.org/pdf/2412.14093.pdf,papers_extra/multi-agent-triaged/0300_2412.14093/paper.pdf,present,3236586,,https://arxiv.org/e-print/2412.14093,papers_extra/multi-agent-triaged/0300_2412.14093/source,present,,"High-quality model-safety paper, but it studies single-model alignment faking rather than agent or multi-agent mechanisms; weak bridge value for this corpus.",4,previous-canonical
302,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,Hubinger et al,2024,2401.05566,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2401.05566,papers_extra/multi-agent-triaged/0302_2401.05566,https://arxiv.org/pdf/2401.05566.pdf,papers_extra/multi-agent-triaged/0302_2401.05566/paper.pdf,present,3696766,,https://arxiv.org/e-print/2401.05566,papers_extra/multi-agent-triaged/0302_2401.05566/source,present,,Backdoored/deceptive LLM training study despite the title; no LLM-agent or multi-agent system contribution.,4,previous-canonical
306,Model Evaluation for Extreme Risks,Shevlane et al,2023,2305.15324,candidate,bridge,"Safety, Security, and Reliability",curated-400,0,1.0,,2305.15324,papers_extra/multi-agent-triaged/0306_2305.15324,https://arxiv.org/pdf/2305.15324.pdf,papers_extra/multi-agent-triaged/0306_2305.15324/paper.pdf,present,803928,,https://arxiv.org/e-print/2305.15324,papers_extra/multi-agent-triaged/0306_2305.15324/source,present,,Broad extreme-risk evaluation framework/policy paper with no agent or MAS technical contribution or empirical multi-agent evidence.,4,previous-canonical
361,Population Based Training of Neural Networks,Jaderberg et al,2017,1711.09846,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1711.09846,papers_extra/multi-agent-triaged/0361_1711.09846,https://arxiv.org/pdf/1711.09846.pdf,papers_extra/multi-agent-triaged/0361_1711.09846/paper.pdf,present,2370925,,https://arxiv.org/e-print/1711.09846,papers_extra/multi-agent-triaged/0361_1711.09846/source,present,,"High-quality population-based optimization paper, but not LLM-driven or multi-agent-system research; weak anchor value for this corpus.",4,previous-canonical
402,Agentic AI Project Manager: Multi-Agent Orchestration with Local LLMs,Aryan Kamble,2026,https://doi.org/10.5281/zenodo.18786200,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:orchestration,0,0.92,https://openalex.org/W7131706351,,,,,unresolved,,,,,unavailable,,Zenodo/OpenAlex-only 2026 project artifact with zero citations and broad implementation claims around CrewAI/local models; obvious low-rigor corpus noise.,4,batch-09
